id,species,dbh,h,dsm_vol,huber_vol,form_factor,denzin_vol
93,Pinus sylvestris,10.3,11.22,0.056,0.093,0.602,0.053
94,Pinus sylvestris,10.3,13.2,0.052,0.11,0.473,0.059
95,Pinus sylvestris,10.4,10.9,0.046,0.093,0.495,0.053
96,Pinus sylvestris,10.4,14.5,0.065,0.123,0.528,0.064
97,Pinus sylvestris,10.5,6.3,0.025,0.055,0.455,0.038
98,Pinus sylvestris,10.5,9.2,0.044,0.08,0.55,0.048
99,Pinus sylvestris,10.6,11.2,0.06,0.099,0.606,0.056
100,Pinus sylvestris,10.7,12.7,0.069,0.114,0.605,0.062
101,Pinus sylvestris,10.8,11.2,0.046,0.103,0.447,0.058
102,Pinus sylvestris,10.9,15.3,0.078,0.143,0.545,0.074
103,Pinus sylvestris,11.0,7.03,0.033,0.067,0.493,0.045
104,Pinus sylvestris,11.0,9.5,0.047,0.09,0.522,0.054
105,Pinus sylvestris,11.1,9.9,0.045,0.096,0.469,0.056
106,Pinus sylvestris,11.2,10.6,0.058,0.104,0.558,0.06
107,Pinus sylvestris,11.3,9.95,0.051,0.1,0.51,0.059
108,Pinus sylvestris,11.4,8.8,0.044,0.09,0.489,0.055
109,Pinus sylvestris,11.5,13.4,0.073,0.139,0.525,0.074
110,Pinus sylvestris,11.5,11.7,0.069,0.122,0.566,0.068
111,Pinus sylvestris,11.6,9.25,0.043,0.098,0.439,0.059
112,Pinus sylvestris,11.7,13.2,0.077,0.142,0.542,0.076
113,Pinus sylvestris,11.8,15.8,0.086,0.173,0.497,0.088
114,Pinus sylvestris,11.8,14.3,0.085,0.156,0.545,0.082
115,Pinus sylvestris,11.9,9.5,0.057,0.106,0.538,0.063
116,Pinus sylvestris,11.9,10.7,0.058,0.119,0.487,0.068
117,Pinus sylvestris,12.0,14.0,0.07,0.158,0.443,0.084
118,Pinus sylvestris,12.0,14.4,0.086,0.163,0.528,0.085
119,Pinus sylvestris,12.0,9.7,0.055,0.11,0.5,0.065
120,Pinus sylvestris,12.1,15.6,0.092,0.179,0.514,0.092
121,Pinus sylvestris,12.2,12.5,0.105,0.146,0.719,0.08
122,Pinus sylvestris,12.2,11.1,0.073,0.13,0.562,0.073
123,Pinus sylvestris,12.3,13.7,0.07,0.163,0.429,0.086
124,Pinus sylvestris,12.4,14.49,0.077,0.175,0.44,0.091
125,Pinus sylvestris,12.4,10.7,0.069,0.129,0.535,0.074
126,Pinus sylvestris,12.5,14.8,0.095,0.182,0.522,0.094
127,Pinus sylvestris,12.5,11.2,0.061,0.137,0.445,0.078
128,Pinus sylvestris,12.6,15.4,0.096,0.192,0.5,0.099
129,Pinus sylvestris,12.6,12.9,0.077,0.161,0.478,0.087
130,Pinus sylvestris,12.7,9.6,0.072,0.122,0.59,0.072
131,Pinus sylvestris,12.8,21.0,0.092,0.27,0.341,0.129
132,Pinus sylvestris,12.9,13.8,0.105,0.18,0.583,0.096
133,Pinus sylvestris,12.9,9.2,0.059,0.12,0.492,0.073
134,Pinus sylvestris,13.0,17.4,0.108,0.231,0.468,0.115
135,Pinus sylvestris,13.1,13.1,0.097,0.177,0.548,0.095
136,Pinus sylvestris,13.2,7.93,0.057,0.109,0.523,0.069
137,Pinus sylvestris,13.2,10.8,0.064,0.148,0.432,0.084
138,Pinus sylvestris,13.4,9.9,0.075,0.14,0.536,0.082
139,Pinus sylvestris,13.5,13.8,0.081,0.198,0.409,0.105
140,Pinus sylvestris,13.6,9.1,0.07,0.132,0.53,0.08
141,Pinus sylvestris,13.8,18.4,0.165,0.275,0.6,0.136
142,Pinus sylvestris,13.8,11.2,0.091,0.168,0.542,0.094
143,Pinus sylvestris,13.9,12.0,0.098,0.182,0.538,0.1
144,Pinus sylvestris,14.0,18.8,0.161,0.289,0.557,0.142
145,Pinus sylvestris,14.0,14.7,0.106,0.226,0.469,0.118
146,Pinus sylvestris,14.0,15.4,0.112,0.237,0.473,0.122
147,Pinus sylvestris,14.1,9.8,0.083,0.153,0.542,0.09
148,Pinus sylvestris,14.2,16.2,0.146,0.257,0.568,0.13
149,Pinus sylvestris,14.2,10.5,0.079,0.166,0.476,0.096
150,Pinus sylvestris,14.4,11.83,0.103,0.193,0.534,0.107
151,Pinus sylvestris,14.5,20.2,0.172,0.334,0.515,0.161
152,Pinus sylvestris,14.5,11.3,0.094,0.187,0.503,0.105
153,Pinus sylvestris,14.6,16.4,0.125,0.275,0.455,0.139
154,Pinus sylvestris,14.7,16.4,0.15,0.278,0.54,0.141
155,Pinus sylvestris,14.8,13.2,0.118,0.227,0.52,0.122
156,Pinus sylvestris,14.9,18.6,0.179,0.324,0.552,0.159
157,Pinus sylvestris,15.0,19.7,0.167,0.348,0.48,0.169
158,Pinus sylvestris,15.0,11.3,0.114,0.2,0.57,0.112
159,Pinus sylvestris,15.1,20.6,0.209,0.369,0.566,0.177
160,Pinus sylvestris,15.3,13.6,0.123,0.25,0.492,0.133
161,Pinus sylvestris,15.4,18.2,0.177,0.339,0.522,0.167
162,Pinus sylvestris,15.5,16.5,0.17,0.311,0.547,0.157
163,Pinus sylvestris,15.5,10.6,0.093,0.2,0.465,0.115
164,Pinus sylvestris,15.6,15.9,0.171,0.304,0.563,0.155
165,Pinus sylvestris,15.7,16.2,0.146,0.314,0.465,0.159
166,Pinus sylvestris,15.8,9.4,0.084,0.184,0.457,0.11
167,Pinus sylvestris,15.9,15.0,0.133,0.298,0.446,0.154
168,Pinus sylvestris,16.0,20.3,0.233,0.408,0.571,0.197
169,Pinus sylvestris,16.0,8.27,0.079,0.166,0.476,0.104
170,Pinus sylvestris,16.0,14.2,0.139,0.286,0.486,0.15
171,Pinus sylvestris,16.1,18.7,0.209,0.381,0.549,0.187
172,Pinus sylvestris,16.2,14.2,0.138,0.293,0.471,0.154
173,Pinus sylvestris,16.3,21.9,0.243,0.457,0.532,0.217
174,Pinus sylvestris,16.5,18.3,0.206,0.391,0.527,0.193
175,Pinus sylvestris,16.6,10.0,0.092,0.216,0.426,0.127
176,Pinus sylvestris,16.8,18.7,0.232,0.415,0.559,0.203
177,Pinus sylvestris,16.9,19.3,0.213,0.433,0.492,0.211
178,Pinus sylvestris,17.0,21.1,0.246,0.479,0.514,0.229
179,Pinus sylvestris,17.0,20.3,0.257,0.461,0.557,0.222
180,Pinus sylvestris,17.1,19.8,0.204,0.455,0.448,0.22
181,Pinus sylvestris,17.3,17.2,0.181,0.404,0.448,0.202
182,Pinus sylvestris,17.5,18.6,0.185,0.447,0.414,0.22
183,Pinus sylvestris,17.7,17.1,0.208,0.421,0.494,0.211
184,Pinus sylvestris,17.8,17.0,0.193,0.423,0.456,0.212
185,Pinus sylvestris,18.0,15.8,0.189,0.402,0.47,0.205
186,Pinus sylvestris,18.0,17.6,0.218,0.448,0.487,0.223
187,Pinus sylvestris,18.1,26.0,0.342,0.669,0.511,0.308
188,Pinus sylvestris,18.2,14.5,0.18,0.377,0.477,0.197
189,Pinus sylvestris,18.4,17.5,0.224,0.465,0.482,0.232
190,Pinus sylvestris,18.5,14.3,0.21,0.384,0.547,0.202
191,Pinus sylvestris,18.6,11.5,0.143,0.312,0.458,0.175
