id,species,dbh,h,huber_vol,denzin_vol
1,Betula pendula,10.0,14.3,0.112,0.05
2,Fagus sylvatica,7.0,10.1,0.039,0.027
3,Picea abies,7.5,7.2,0.032,0.026
4,Pinus sylvestris,22.3,27.2,1.062,0.485
5,Quercus petraea,7.6,11.5,0.052,0.036
6,Quercus rubra,9.6,13.9,0.101,0.064
