id,species,dbh,h,huber_vol,denzin_vol
1,Betula pendula,10.0,14.3,0.112,0.05
2,Betula pendula,11.4,15.5,0.158,0.07
3,Betula pendula,12.3,16.2,0.192,0.084
4,Fagus sylvatica,7.0,10.1,0.039,0.027
5,Fagus sylvatica,7.0,10.7,0.041,0.028
6,Fagus sylvatica,7.0,10.7,0.041,0.028
7,Fagus sylvatica,7.1,10.8,0.043,0.029
8,Fagus sylvatica,7.1,10.8,0.043,0.029
9,Fagus sylvatica,7.1,10.8,0.043,0.029
10,Fagus sylvatica,7.1,10.8,0.043,0.029
11,Fagus sylvatica,7.2,11.0,0.045,0.03
12,Fagus sylvatica,7.2,11.0,0.045,0.03
13,Fagus sylvatica,7.2,11.0,0.045,0.03
14,Fagus sylvatica,7.3,11.1,0.046,0.031
15,Fagus sylvatica,7.3,11.1,0.046,0.031
16,Fagus sylvatica,7.4,11.3,0.049,0.032
17,Fagus sylvatica,7.4,11.3,0.049,0.032
18,Fagus sylvatica,7.5,12.8,0.057,0.036
19,Fagus sylvatica,7.5,11.4,0.05,0.033
20,Fagus sylvatica,7.5,11.4,0.05,0.033
21,Fagus sylvatica,7.5,11.4,0.05,0.033
22,Fagus sylvatica,7.5,11.4,0.05,0.033
23,Fagus sylvatica,7.7,11.7,0.054,0.036
24,Fagus sylvatica,7.7,11.7,0.054,0.036
25,Fagus sylvatica,7.7,11.7,0.054,0.036
26,Fagus sylvatica,7.8,15.0,0.072,0.043
27,Fagus sylvatica,7.8,11.8,0.056,0.037
28,Fagus sylvatica,7.8,11.8,0.056,0.037
29,Fagus sylvatica,7.8,11.8,0.056,0.037
30,Fagus sylvatica,7.8,11.8,0.056,0.037
31,Fagus sylvatica,7.9,9.1,0.045,0.033
32,Fagus sylvatica,7.9,11.9,0.058,0.038
33,Fagus sylvatica,7.9,11.9,0.058,0.038
34,Fagus sylvatica,7.9,11.9,0.058,0.038
35,Fagus sylvatica,8.0,14.6,0.073,0.044
36,Fagus sylvatica,8.0,12.0,0.06,0.039
37,Fagus sylvatica,8.0,12.0,0.06,0.039
38,Fagus sylvatica,8.0,12.0,0.06,0.039
39,Fagus sylvatica,8.0,12.0,0.06,0.039
40,Fagus sylvatica,8.0,12.0,0.06,0.039
41,Fagus sylvatica,8.1,12.2,0.063,0.04
42,Fagus sylvatica,8.1,12.2,0.063,0.04
43,Fagus sylvatica,8.1,12.2,0.063,0.04
44,Fagus sylvatica,8.2,12.3,0.065,0.042
45,Fagus sylvatica,8.2,12.3,0.065,0.042
46,Fagus sylvatica,8.2,12.3,0.065,0.042
47,Fagus sylvatica,8.3,13.5,0.073,0.045
48,Fagus sylvatica,8.3,12.4,0.067,0.043
49,Fagus sylvatica,8.3,12.4,0.067,0.043
50,Fagus sylvatica,8.4,12.5,0.069,0.044
51,Fagus sylvatica,8.4,12.5,0.069,0.044
52,Fagus sylvatica,8.4,12.5,0.069,0.044
53,Fagus sylvatica,8.5,12.7,0.072,0.046
54,Fagus sylvatica,8.5,12.7,0.072,0.046
55,Fagus sylvatica,8.5,12.7,0.072,0.046
56,Fagus sylvatica,8.5,12.7,0.072,0.046
57,Fagus sylvatica,8.6,12.8,0.074,0.047
58,Fagus sylvatica,8.6,12.8,0.074,0.047
59,Fagus sylvatica,8.6,12.8,0.074,0.047
60,Fagus sylvatica,8.6,12.8,0.074,0.047
61,Fagus sylvatica,8.6,12.8,0.074,0.047
62,Fagus sylvatica,8.7,12.9,0.077,0.048
63,Fagus sylvatica,8.7,12.9,0.077,0.048
64,Fagus sylvatica,8.7,12.9,0.077,0.048
65,Fagus sylvatica,8.8,13.0,0.079,0.05
66,Fagus sylvatica,8.8,13.0,0.079,0.05
67,Fagus sylvatica,8.9,13.1,0.081,0.051
68,Fagus sylvatica,8.9,13.1,0.081,0.051
69,Fagus sylvatica,9.0,13.2,0.084,0.052
70,Fagus sylvatica,9.0,13.2,0.084,0.052
71,Fagus sylvatica,9.0,13.2,0.084,0.052
72,Fagus sylvatica,9.0,13.2,0.084,0.052
73,Fagus sylvatica,9.0,13.2,0.084,0.052
74,Fagus sylvatica,9.0,13.2,0.084,0.052
75,Fagus sylvatica,9.0,13.2,0.084,0.052
76,Fagus sylvatica,9.0,13.2,0.084,0.052
77,Fagus sylvatica,9.1,13.3,0.087,0.054
78,Fagus sylvatica,9.1,13.3,0.087,0.054
79,Fagus sylvatica,9.1,13.3,0.087,0.054
80,Fagus sylvatica,9.1,13.3,0.087,0.054
81,Fagus sylvatica,9.3,13.6,0.092,0.057
82,Fagus sylvatica,9.3,13.6,0.092,0.057
83,Fagus sylvatica,9.3,13.6,0.092,0.057
84,Fagus sylvatica,9.3,13.6,0.092,0.057
85,Fagus sylvatica,9.4,13.7,0.095,0.058
86,Fagus sylvatica,9.4,13.7,0.095,0.058
87,Fagus sylvatica,9.4,13.7,0.095,0.058
88,Fagus sylvatica,9.4,13.7,0.095,0.058
89,Fagus sylvatica,9.5,11.6,0.082,0.054
90,Fagus sylvatica,9.5,13.8,0.098,0.06
91,Fagus sylvatica,9.5,13.8,0.098,0.06
92,Fagus sylvatica,9.6,13.9,0.101,0.061
93,Fagus sylvatica,9.6,13.9,0.101,0.061
94,Fagus sylvatica,9.6,13.9,0.101,0.061
95,Fagus sylvatica,9.6,13.9,0.101,0.061
96,Fagus sylvatica,9.7,14.0,0.103,0.063
97,Fagus sylvatica,9.7,14.0,0.103,0.063
98,Fagus sylvatica,9.7,14.0,0.103,0.063
99,Fagus sylvatica,9.8,13.8,0.104,0.064
100,Fagus sylvatica,9.8,14.1,0.106,0.065
101,Fagus sylvatica,9.8,14.1,0.106,0.065
102,Fagus sylvatica,9.9,14.2,0.109,0.066
103,Fagus sylvatica,9.9,14.2,0.109,0.066
104,Fagus sylvatica,9.9,14.2,0.109,0.066
105,Fagus sylvatica,9.9,14.2,0.109,0.066
106,Fagus sylvatica,9.9,14.2,0.109,0.066
107,Fagus sylvatica,9.9,14.2,0.109,0.066
108,Fagus sylvatica,10.0,14.3,0.112,0.068
109,Fagus sylvatica,10.0,14.3,0.112,0.068
110,Fagus sylvatica,10.0,14.3,0.112,0.068
111,Fagus sylvatica,10.0,14.3,0.112,0.068
112,Fagus sylvatica,10.0,14.3,0.112,0.068
113,Fagus sylvatica,10.0,14.3,0.112,0.068
114,Fagus sylvatica,10.0,14.3,0.112,0.068
115,Fagus sylvatica,10.1,9.0,0.072,0.053
116,Fagus sylvatica,10.1,14.4,0.115,0.07
117,Fagus sylvatica,10.1,14.4,0.115,0.07
118,Fagus sylvatica,10.1,14.4,0.115,0.07
119,Fagus sylvatica,10.2,14.5,0.118,0.071
120,Fagus sylvatica,10.3,13.1,0.109,0.068
121,Fagus sylvatica,10.3,17.3,0.144,0.082
122,Fagus sylvatica,10.3,14.6,0.122,0.073
123,Fagus sylvatica,10.3,14.6,0.122,0.073
124,Fagus sylvatica,10.3,14.6,0.122,0.073
125,Fagus sylvatica,10.3,14.6,0.122,0.073
126,Fagus sylvatica,10.4,14.7,0.125,0.075
127,Fagus sylvatica,10.4,14.7,0.125,0.075
128,Fagus sylvatica,10.4,14.7,0.125,0.075
129,Fagus sylvatica,10.4,14.7,0.125,0.075
130,Fagus sylvatica,10.4,14.7,0.125,0.075
131,Fagus sylvatica,10.4,14.7,0.125,0.075
132,Fagus sylvatica,10.4,14.7,0.125,0.075
133,Fagus sylvatica,10.4,14.7,0.125,0.075
134,Fagus sylvatica,10.4,14.7,0.125,0.075
135,Fagus sylvatica,10.5,14.7,0.127,0.076
136,Fagus sylvatica,10.5,14.7,0.127,0.076
137,Fagus sylvatica,10.5,14.7,0.127,0.076
138,Fagus sylvatica,10.5,14.7,0.127,0.076
139,Fagus sylvatica,10.5,14.7,0.127,0.076
140,Fagus sylvatica,10.6,14.8,0.131,0.078
141,Fagus sylvatica,10.6,14.8,0.131,0.078
142,Fagus sylvatica,10.6,14.8,0.131,0.078
143,Fagus sylvatica,10.6,14.8,0.131,0.078
144,Fagus sylvatica,10.7,17.6,0.158,0.089
145,Fagus sylvatica,10.7,14.9,0.134,0.08
146,Fagus sylvatica,10.7,14.9,0.134,0.08
147,Fagus sylvatica,10.7,14.9,0.134,0.08
148,Fagus sylvatica,10.7,14.9,0.134,0.08
149,Fagus sylvatica,10.8,15.0,0.137,0.082
150,Fagus sylvatica,10.8,15.0,0.137,0.082
151,Fagus sylvatica,10.8,15.0,0.137,0.082
152,Fagus sylvatica,10.9,15.1,0.141,0.084
153,Fagus sylvatica,10.9,15.1,0.141,0.084
154,Fagus sylvatica,10.9,15.1,0.141,0.084
155,Fagus sylvatica,10.9,15.1,0.141,0.084
156,Fagus sylvatica,10.9,15.1,0.141,0.084
157,Fagus sylvatica,11.0,13.4,0.127,0.079
158,Fagus sylvatica,11.0,15.2,0.144,0.085
159,Fagus sylvatica,11.0,15.2,0.144,0.085
160,Fagus sylvatica,11.0,15.2,0.144,0.085
161,Fagus sylvatica,11.0,15.2,0.144,0.085
162,Fagus sylvatica,11.1,17.2,0.166,0.094
163,Fagus sylvatica,11.1,15.3,0.148,0.087
164,Fagus sylvatica,11.1,15.3,0.148,0.087
165,Fagus sylvatica,11.2,15.4,0.152,0.089
166,Fagus sylvatica,11.2,15.4,0.152,0.089
167,Fagus sylvatica,11.2,15.4,0.152,0.089
168,Fagus sylvatica,11.2,15.4,0.152,0.089
169,Fagus sylvatica,11.2,15.4,0.152,0.089
170,Fagus sylvatica,11.3,15.4,0.154,0.091
171,Fagus sylvatica,11.3,15.4,0.154,0.091
172,Fagus sylvatica,11.3,15.4,0.154,0.091
173,Fagus sylvatica,11.3,15.4,0.154,0.091
174,Fagus sylvatica,11.3,15.4,0.154,0.091
175,Fagus sylvatica,11.3,15.4,0.154,0.091
176,Fagus sylvatica,11.4,15.5,0.158,0.093
177,Fagus sylvatica,11.4,15.5,0.158,0.093
178,Fagus sylvatica,11.5,15.6,0.162,0.095
179,Fagus sylvatica,11.5,15.6,0.162,0.095
180,Fagus sylvatica,11.5,15.6,0.162,0.095
181,Fagus sylvatica,11.5,15.6,0.162,0.095
182,Fagus sylvatica,11.5,15.6,0.162,0.095
183,Fagus sylvatica,11.5,15.6,0.162,0.095
184,Fagus sylvatica,11.6,15.7,0.166,0.097
185,Fagus sylvatica,11.6,15.7,0.166,0.097
186,Fagus sylvatica,11.6,15.7,0.166,0.097
187,Fagus sylvatica,11.6,15.7,0.166,0.097
188,Fagus sylvatica,11.6,15.7,0.166,0.097
189,Fagus sylvatica,11.7,13.5,0.145,0.09
190,Fagus sylvatica,11.7,15.8,0.17,0.099
191,Fagus sylvatica,11.7,15.8,0.17,0.099
192,Fagus sylvatica,11.8,15.9,0.174,0.101
193,Fagus sylvatica,11.8,15.9,0.174,0.101
194,Fagus sylvatica,11.9,15.9,0.177,0.103
195,Fagus sylvatica,11.9,15.9,0.177,0.103
196,Fagus sylvatica,11.9,15.9,0.177,0.103
197,Fagus sylvatica,12.0,16.0,0.181,0.105
198,Fagus sylvatica,12.0,16.0,0.181,0.105
199,Fagus sylvatica,12.1,16.1,0.185,0.107
200,Fagus sylvatica,12.1,16.1,0.185,0.107
201,Fagus sylvatica,12.1,16.1,0.185,0.107
202,Fagus sylvatica,12.2,16.2,0.189,0.11
203,Fagus sylvatica,12.2,16.2,0.189,0.11
204,Fagus sylvatica,12.3,16.2,0.192,0.111
205,Fagus sylvatica,12.3,16.2,0.192,0.111
206,Fagus sylvatica,12.3,16.2,0.192,0.111
207,Fagus sylvatica,12.4,16.3,0.197,0.114
208,Fagus sylvatica,12.4,16.3,0.197,0.114
209,Fagus sylvatica,12.4,16.3,0.197,0.114
210,Fagus sylvatica,12.4,16.3,0.197,0.114
211,Fagus sylvatica,12.4,16.3,0.197,0.114
212,Fagus sylvatica,12.4,16.3,0.197,0.114
213,Fagus sylvatica,12.4,16.3,0.197,0.114
214,Fagus sylvatica,12.5,16.4,0.201,0.116
215,Fagus sylvatica,12.5,16.4,0.201,0.116
216,Fagus sylvatica,12.5,16.4,0.201,0.116
217,Fagus sylvatica,12.5,16.4,0.201,0.116
218,Fagus sylvatica,12.6,16.5,0.206,0.118
219,Fagus sylvatica,12.6,16.5,0.206,0.118
220,Fagus sylvatica,12.6,16.5,0.206,0.118
221,Fagus sylvatica,12.7,16.5,0.209,0.12
222,Fagus sylvatica,12.7,16.5,0.209,0.12
223,Fagus sylvatica,12.8,16.6,0.214,0.123
224,Fagus sylvatica,12.8,16.6,0.214,0.123
225,Fagus sylvatica,12.8,16.6,0.214,0.123
226,Fagus sylvatica,12.8,16.6,0.214,0.123
227,Fagus sylvatica,12.9,17.5,0.229,0.129
228,Fagus sylvatica,12.9,17.6,0.23,0.129
229,Fagus sylvatica,12.9,16.7,0.218,0.125
230,Fagus sylvatica,12.9,16.7,0.218,0.125
231,Fagus sylvatica,13.0,16.7,0.222,0.127
232,Fagus sylvatica,13.0,16.7,0.222,0.127
233,Fagus sylvatica,13.0,16.7,0.222,0.127
234,Fagus sylvatica,13.0,16.7,0.222,0.127
235,Fagus sylvatica,13.0,16.7,0.222,0.127
236,Fagus sylvatica,13.1,16.8,0.226,0.129
237,Fagus sylvatica,13.1,16.8,0.226,0.129
238,Fagus sylvatica,13.1,16.8,0.226,0.129
239,Fagus sylvatica,13.1,16.8,0.226,0.129
240,Fagus sylvatica,13.1,16.8,0.226,0.129
241,Fagus sylvatica,13.2,16.9,0.231,0.132
242,Fagus sylvatica,13.2,16.9,0.231,0.132
243,Fagus sylvatica,13.2,16.9,0.231,0.132
244,Fagus sylvatica,13.3,16.9,0.235,0.134
245,Fagus sylvatica,13.3,16.9,0.235,0.134
246,Fagus sylvatica,13.3,16.9,0.235,0.134
247,Fagus sylvatica,13.3,16.9,0.235,0.134
248,Fagus sylvatica,13.3,16.9,0.235,0.134
249,Fagus sylvatica,13.4,17.0,0.24,0.136
250,Fagus sylvatica,13.4,17.0,0.24,0.136
251,Fagus sylvatica,13.4,17.0,0.24,0.136
252,Fagus sylvatica,13.4,17.0,0.24,0.136
253,Fagus sylvatica,13.4,17.0,0.24,0.136
254,Fagus sylvatica,13.5,17.1,0.245,0.139
255,Fagus sylvatica,13.6,17.1,0.248,0.141
256,Fagus sylvatica,13.6,17.1,0.248,0.141
257,Fagus sylvatica,13.7,17.2,0.254,0.144
258,Fagus sylvatica,13.7,17.2,0.254,0.144
259,Fagus sylvatica,13.7,17.2,0.254,0.144
260,Fagus sylvatica,13.7,17.2,0.254,0.144
261,Fagus sylvatica,13.7,17.2,0.254,0.144
262,Fagus sylvatica,13.8,17.3,0.259,0.146
263,Fagus sylvatica,13.8,17.3,0.259,0.146
264,Fagus sylvatica,13.8,17.3,0.259,0.146
265,Fagus sylvatica,13.8,17.3,0.259,0.146
266,Fagus sylvatica,13.9,16.4,0.249,0.143
267,Fagus sylvatica,13.9,17.3,0.263,0.149
268,Fagus sylvatica,13.9,17.3,0.263,0.149
269,Fagus sylvatica,13.9,17.3,0.263,0.149
270,Fagus sylvatica,13.9,17.3,0.263,0.149
271,Fagus sylvatica,14.0,17.4,0.268,0.151
272,Fagus sylvatica,14.0,17.4,0.268,0.151
273,Fagus sylvatica,14.1,18.1,0.283,0.158
274,Fagus sylvatica,14.1,17.5,0.273,0.154
275,Fagus sylvatica,14.1,17.5,0.273,0.154
276,Fagus sylvatica,14.1,17.5,0.273,0.154
277,Fagus sylvatica,14.2,17.5,0.277,0.156
278,Fagus sylvatica,14.2,17.5,0.277,0.156
279,Fagus sylvatica,14.2,17.5,0.277,0.156
280,Fagus sylvatica,14.2,17.5,0.277,0.156
281,Fagus sylvatica,14.2,17.5,0.277,0.156
282,Fagus sylvatica,14.3,17.6,0.283,0.159
283,Fagus sylvatica,14.3,17.6,0.283,0.159
284,Fagus sylvatica,14.3,17.6,0.283,0.159
285,Fagus sylvatica,14.3,17.6,0.283,0.159
286,Fagus sylvatica,14.4,17.6,0.287,0.161
287,Fagus sylvatica,14.4,17.6,0.287,0.161
288,Fagus sylvatica,14.4,17.6,0.287,0.161
289,Fagus sylvatica,14.4,17.6,0.287,0.161
290,Fagus sylvatica,14.4,17.6,0.287,0.161
291,Fagus sylvatica,14.4,17.6,0.287,0.161
292,Fagus sylvatica,14.5,17.7,0.292,0.164
293,Fagus sylvatica,14.5,17.7,0.292,0.164
294,Fagus sylvatica,14.5,17.7,0.292,0.164
295,Fagus sylvatica,14.5,17.7,0.292,0.164
296,Fagus sylvatica,14.6,17.7,0.296,0.166
297,Fagus sylvatica,14.6,17.7,0.296,0.166
298,Fagus sylvatica,14.6,17.7,0.296,0.166
299,Fagus sylvatica,14.6,17.7,0.296,0.166
300,Fagus sylvatica,14.6,17.7,0.296,0.166
301,Fagus sylvatica,14.6,17.7,0.296,0.166
302,Fagus sylvatica,14.7,18.6,0.316,0.175
303,Fagus sylvatica,14.7,17.8,0.302,0.169
304,Fagus sylvatica,14.7,17.8,0.302,0.169
305,Fagus sylvatica,14.7,17.8,0.302,0.169
306,Fagus sylvatica,14.8,19.6,0.337,0.184
307,Fagus sylvatica,14.8,17.9,0.308,0.172
308,Fagus sylvatica,14.8,17.9,0.308,0.172
309,Fagus sylvatica,14.8,17.9,0.308,0.172
310,Fagus sylvatica,14.9,17.4,0.303,0.171
311,Fagus sylvatica,14.9,17.9,0.312,0.175
312,Fagus sylvatica,14.9,17.9,0.312,0.175
313,Fagus sylvatica,14.9,17.9,0.312,0.175
314,Fagus sylvatica,14.9,17.9,0.312,0.175
315,Fagus sylvatica,14.9,17.9,0.312,0.175
316,Fagus sylvatica,14.9,17.9,0.312,0.175
317,Fagus sylvatica,15.0,18.0,0.318,0.178
318,Fagus sylvatica,15.0,18.0,0.318,0.178
319,Fagus sylvatica,15.0,18.0,0.318,0.178
320,Fagus sylvatica,15.0,18.0,0.318,0.178
321,Fagus sylvatica,15.0,18.0,0.318,0.178
322,Fagus sylvatica,15.0,18.0,0.318,0.178
323,Fagus sylvatica,15.0,18.0,0.318,0.178
324,Fagus sylvatica,15.0,18.0,0.318,0.178
325,Fagus sylvatica,15.0,18.0,0.318,0.178
326,Fagus sylvatica,15.1,18.0,0.322,0.18
327,Fagus sylvatica,15.1,18.0,0.322,0.18
328,Fagus sylvatica,15.1,18.0,0.322,0.18
329,Fagus sylvatica,15.1,18.0,0.322,0.18
330,Fagus sylvatica,15.2,18.1,0.328,0.183
331,Fagus sylvatica,15.2,18.1,0.328,0.183
332,Fagus sylvatica,15.2,18.1,0.328,0.183
333,Fagus sylvatica,15.2,18.1,0.328,0.183
334,Fagus sylvatica,15.2,18.1,0.328,0.183
335,Fagus sylvatica,15.2,18.1,0.328,0.183
336,Fagus sylvatica,15.2,18.1,0.328,0.183
337,Fagus sylvatica,15.2,18.1,0.328,0.183
338,Fagus sylvatica,15.3,18.1,0.333,0.186
339,Fagus sylvatica,15.3,18.1,0.333,0.186
340,Fagus sylvatica,15.4,18.2,0.339,0.189
341,Fagus sylvatica,15.4,18.2,0.339,0.189
342,Fagus sylvatica,15.4,18.2,0.339,0.189
343,Fagus sylvatica,15.4,18.2,0.339,0.189
344,Fagus sylvatica,15.4,18.2,0.339,0.189
345,Fagus sylvatica,15.4,18.2,0.339,0.189
346,Fagus sylvatica,15.4,18.2,0.339,0.189
347,Fagus sylvatica,15.5,18.2,0.343,0.191
