id,species,dbh,h
160,Fagus sylvatica,11.0,15.2
161,Fagus sylvatica,11.0,15.2
162,Fagus sylvatica,11.1,17.2
163,Fagus sylvatica,11.1,15.3
164,Fagus sylvatica,11.1,15.3
165,Fagus sylvatica,11.2,15.4
166,Fagus sylvatica,11.2,15.4
167,Fagus sylvatica,11.2,15.4
168,Fagus sylvatica,11.2,15.4
169,Fagus sylvatica,11.2,15.4
170,Fagus sylvatica,11.3,15.4
171,Fagus sylvatica,11.3,15.4
172,Fagus sylvatica,11.3,15.4
173,Fagus sylvatica,11.3,15.4
174,Fagus sylvatica,11.3,15.4
175,Fagus sylvatica,11.3,15.4
176,Fagus sylvatica,11.4,15.5
177,Fagus sylvatica,11.4,15.5
178,Fagus sylvatica,11.5,15.6
179,Fagus sylvatica,11.5,15.6
180,Fagus sylvatica,11.5,15.6
181,Fagus sylvatica,11.5,15.6
182,Fagus sylvatica,11.5,15.6
183,Fagus sylvatica,11.5,15.6
184,Fagus sylvatica,11.6,15.7
185,Fagus sylvatica,11.6,15.7
186,Fagus sylvatica,11.6,15.7
187,Fagus sylvatica,11.6,15.7
188,Fagus sylvatica,11.6,15.7
189,Fagus sylvatica,11.7,13.5
190,Fagus sylvatica,11.7,15.8
191,Fagus sylvatica,11.7,15.8
192,Fagus sylvatica,11.8,15.9
193,Fagus sylvatica,11.8,15.9
194,Fagus sylvatica,11.9,15.9
195,Fagus sylvatica,11.9,15.9
196,Fagus sylvatica,11.9,15.9
197,Fagus sylvatica,12.0,16.0
198,Fagus sylvatica,12.0,16.0
199,Fagus sylvatica,12.1,16.1
200,Fagus sylvatica,12.1,16.1
201,Fagus sylvatica,12.1,16.1
202,Fagus sylvatica,12.2,16.2
203,Fagus sylvatica,12.2,16.2
204,Fagus sylvatica,12.3,16.2
205,Fagus sylvatica,12.3,16.2
206,Fagus sylvatica,12.3,16.2
207,Fagus sylvatica,12.4,16.3
208,Fagus sylvatica,12.4,16.3
209,Fagus sylvatica,12.4,16.3
210,Fagus sylvatica,12.4,16.3
211,Fagus sylvatica,12.4,16.3
212,Fagus sylvatica,12.4,16.3
213,Fagus sylvatica,12.4,16.3
214,Fagus sylvatica,12.5,16.4
215,Fagus sylvatica,12.5,16.4
216,Fagus sylvatica,12.5,16.4
217,Fagus sylvatica,12.5,16.4
218,Fagus sylvatica,12.6,16.5
219,Fagus sylvatica,12.6,16.5
220,Fagus sylvatica,12.6,16.5
221,Fagus sylvatica,12.7,16.5
222,Fagus sylvatica,12.7,16.5
223,Fagus sylvatica,12.8,16.6
224,Fagus sylvatica,12.8,16.6
225,Fagus sylvatica,12.8,16.6
226,Fagus sylvatica,12.8,16.6
227,Fagus sylvatica,12.9,17.5
228,Fagus sylvatica,12.9,17.6
229,Fagus sylvatica,12.9,16.7
230,Fagus sylvatica,12.9,16.7
231,Fagus sylvatica,13.0,16.7
232,Fagus sylvatica,13.0,16.7
233,Fagus sylvatica,13.0,16.7
234,Fagus sylvatica,13.0,16.7
235,Fagus sylvatica,13.0,16.7
236,Fagus sylvatica,13.1,16.8
237,Fagus sylvatica,13.1,16.8
238,Fagus sylvatica,13.1,16.8
239,Fagus sylvatica,13.1,16.8
240,Fagus sylvatica,13.1,16.8
241,Fagus sylvatica,13.2,16.9
242,Fagus sylvatica,13.2,16.9
243,Fagus sylvatica,13.2,16.9
244,Fagus sylvatica,13.3,16.9
245,Fagus sylvatica,13.3,16.9
246,Fagus sylvatica,13.3,16.9
247,Fagus sylvatica,13.3,16.9
248,Fagus sylvatica,13.3,16.9
249,Fagus sylvatica,13.4,17.0
250,Fagus sylvatica,13.4,17.0
251,Fagus sylvatica,13.4,17.0
252,Fagus sylvatica,13.4,17.0
253,Fagus sylvatica,13.4,17.0
254,Fagus sylvatica,13.5,17.1
255,Fagus sylvatica,13.6,17.1
256,Fagus sylvatica,13.6,17.1
257,Fagus sylvatica,13.7,17.2
258,Fagus sylvatica,13.7,17.2
259,Fagus sylvatica,13.7,17.2
260,Fagus sylvatica,13.7,17.2
261,Fagus sylvatica,13.7,17.2
262,Fagus sylvatica,13.8,17.3
263,Fagus sylvatica,13.8,17.3
264,Fagus sylvatica,13.8,17.3
265,Fagus sylvatica,13.8,17.3
266,Fagus sylvatica,13.9,16.4
267,Fagus sylvatica,13.9,17.3
268,Fagus sylvatica,13.9,17.3
269,Fagus sylvatica,13.9,17.3
270,Fagus sylvatica,13.9,17.3
271,Fagus sylvatica,14.0,17.4
272,Fagus sylvatica,14.0,17.4
273,Fagus sylvatica,14.1,18.1
274,Fagus sylvatica,14.1,17.5
275,Fagus sylvatica,14.1,17.5
276,Fagus sylvatica,14.1,17.5
277,Fagus sylvatica,14.2,17.5
278,Fagus sylvatica,14.2,17.5
279,Fagus sylvatica,14.2,17.5
280,Fagus sylvatica,14.2,17.5
281,Fagus sylvatica,14.2,17.5
282,Fagus sylvatica,14.3,17.6
283,Fagus sylvatica,14.3,17.6
284,Fagus sylvatica,14.3,17.6
285,Fagus sylvatica,14.3,17.6
286,Fagus sylvatica,14.4,17.6
287,Fagus sylvatica,14.4,17.6
288,Fagus sylvatica,14.4,17.6
289,Fagus sylvatica,14.4,17.6
290,Fagus sylvatica,14.4,17.6
291,Fagus sylvatica,14.4,17.6
292,Fagus sylvatica,14.5,17.7
293,Fagus sylvatica,14.5,17.7
294,Fagus sylvatica,14.5,17.7
295,Fagus sylvatica,14.5,17.7
296,Fagus sylvatica,14.6,17.7
297,Fagus sylvatica,14.6,17.7
298,Fagus sylvatica,14.6,17.7
299,Fagus sylvatica,14.6,17.7
300,Fagus sylvatica,14.6,17.7
301,Fagus sylvatica,14.6,17.7
302,Fagus sylvatica,14.7,18.6
303,Fagus sylvatica,14.7,17.8
304,Fagus sylvatica,14.7,17.8
305,Fagus sylvatica,14.7,17.8
306,Fagus sylvatica,14.8,19.6
307,Fagus sylvatica,14.8,17.9
308,Fagus sylvatica,14.8,17.9
309,Fagus sylvatica,14.8,17.9
310,Fagus sylvatica,14.9,17.4
311,Fagus sylvatica,14.9,17.9
312,Fagus sylvatica,14.9,17.9
313,Fagus sylvatica,14.9,17.9
314,Fagus sylvatica,14.9,17.9
315,Fagus sylvatica,14.9,17.9
316,Fagus sylvatica,14.9,17.9
317,Fagus sylvatica,15.0,18.0
318,Fagus sylvatica,15.0,18.0
319,Fagus sylvatica,15.0,18.0
320,Fagus sylvatica,15.0,18.0
321,Fagus sylvatica,15.0,18.0
322,Fagus sylvatica,15.0,18.0
323,Fagus sylvatica,15.0,18.0
324,Fagus sylvatica,15.0,18.0
325,Fagus sylvatica,15.0,18.0
326,Fagus sylvatica,15.1,18.0
327,Fagus sylvatica,15.1,18.0
328,Fagus sylvatica,15.1,18.0
329,Fagus sylvatica,15.1,18.0
330,Fagus sylvatica,15.2,18.1
331,Fagus sylvatica,15.2,18.1
332,Fagus sylvatica,15.2,18.1
333,Fagus sylvatica,15.2,18.1
334,Fagus sylvatica,15.2,18.1
335,Fagus sylvatica,15.2,18.1
336,Fagus sylvatica,15.2,18.1
337,Fagus sylvatica,15.2,18.1
338,Fagus sylvatica,15.3,18.1
339,Fagus sylvatica,15.3,18.1
340,Fagus sylvatica,15.4,18.2
341,Fagus sylvatica,15.4,18.2
342,Fagus sylvatica,15.4,18.2
343,Fagus sylvatica,15.4,18.2
344,Fagus sylvatica,15.4,18.2
345,Fagus sylvatica,15.4,18.2
346,Fagus sylvatica,15.4,18.2
347,Fagus sylvatica,15.5,18.2
348,Fagus sylvatica,15.5,18.2
349,Fagus sylvatica,15.5,18.2
350,Fagus sylvatica,15.5,18.2
351,Fagus sylvatica,15.5,18.2
352,Fagus sylvatica,15.6,18.3
353,Fagus sylvatica,15.6,18.3
354,Fagus sylvatica,15.6,18.3
355,Fagus sylvatica,15.6,18.3
356,Fagus sylvatica,15.7,18.4
357,Fagus sylvatica,15.7,18.4
358,Fagus sylvatica,15.7,18.4
359,Fagus sylvatica,15.8,19.6
360,Fagus sylvatica,15.8,18.4
361,Fagus sylvatica,15.8,18.4
362,Fagus sylvatica,15.8,18.4
363,Fagus sylvatica,15.8,18.4
364,Fagus sylvatica,15.8,18.4
365,Fagus sylvatica,15.8,18.4
366,Fagus sylvatica,15.9,18.5
367,Fagus sylvatica,15.9,18.5
368,Fagus sylvatica,15.9,18.5
369,Fagus sylvatica,15.9,18.5
370,Fagus sylvatica,15.9,18.5
371,Fagus sylvatica,16.0,18.9
372,Fagus sylvatica,16.0,18.5
373,Fagus sylvatica,16.0,18.5
374,Fagus sylvatica,16.0,18.5
375,Fagus sylvatica,16.1,18.6
376,Fagus sylvatica,16.1,18.6
377,Fagus sylvatica,16.1,18.6
378,Fagus sylvatica,16.2,18.6
379,Fagus sylvatica,16.2,18.6
380,Fagus sylvatica,16.2,18.6
381,Fagus sylvatica,16.2,18.6
382,Fagus sylvatica,16.2,18.6
383,Fagus sylvatica,16.2,18.6
384,Fagus sylvatica,16.3,18.7
385,Fagus sylvatica,16.3,18.7
386,Fagus sylvatica,16.3,18.7
387,Fagus sylvatica,16.4,18.7
388,Fagus sylvatica,16.4,18.7
389,Fagus sylvatica,16.4,18.7
390,Fagus sylvatica,16.4,18.7
391,Fagus sylvatica,16.4,18.7
392,Fagus sylvatica,16.5,21.1
393,Fagus sylvatica,16.5,18.8
394,Fagus sylvatica,16.5,18.8
395,Fagus sylvatica,16.5,18.8
396,Fagus sylvatica,16.5,18.8
397,Fagus sylvatica,16.5,18.8
398,Fagus sylvatica,16.6,18.8
399,Fagus sylvatica,16.7,15.7
400,Fagus sylvatica,16.7,15.3
401,Fagus sylvatica,16.7,18.9
402,Fagus sylvatica,16.7,18.9
403,Fagus sylvatica,16.8,17.4
404,Fagus sylvatica,16.8,18.9
405,Fagus sylvatica,16.8,18.9
406,Fagus sylvatica,16.8,18.9
407,Fagus sylvatica,16.9,18.9
408,Fagus sylvatica,16.9,18.9
409,Fagus sylvatica,17.0,19.0
410,Fagus sylvatica,17.0,19.0
411,Fagus sylvatica,17.1,19.0
412,Fagus sylvatica,17.1,19.0
413,Fagus sylvatica,17.1,19.0
414,Fagus sylvatica,17.1,19.0
415,Fagus sylvatica,17.1,19.0
416,Fagus sylvatica,17.2,19.1
